,Condition,Capacity,Capital,Character,Collateral,loan_status,profit_or_loss,addr_state,home_ownership
4347,-0.496353232315657,-0.19958207808550213,-0.42737422917586126,0.05006970233685861,0.787,1,-8271.49,West,OWN
4348,-0.6544414421768063,-0.5186217272961737,-0.8988985684060042,-0.05591961095044139,0.09960000000000001,1,-9869.4,Northeast,RENT
4349,-0.5090348643504379,-0.3424808020574168,-0.7133099417168874,-0.11131306895907275,0.0664,1,-8118.9,Northeast,RENT
4350,-0.61965763873258,-0.5964035831647998,-0.47669485729958117,-0.16755513073982048,-0.029600000000000015,1,-10775.7,South,MORTGAGE
4351,-0.7245200141438405,-0.20291938358784575,-0.4366585514282849,0.05374892831947189,-0.2288,1,-15400.02,South,MORTGAGE
4352,-0.41859854320964146,-0.24450826186733765,-0.6604337062735365,0.038269805104154266,-0.2288,1,-7142.139999999999,West,MORTGAGE
4353,-0.14128611139867128,-0.21660323251867059,-0.5403717342328637,0.05411255462482244,0.0664,1,26.809999999999945,West,RENT
4354,-1.0168115495967511,-0.47737364172204066,-0.4651513321567744,-0.06680853221965143,-0.2288,1,-18308.1,Northeast,MORTGAGE
4355,-0.6711377859203487,-0.025518738232570476,-0.25608272134621124,-0.14960701012332528,-0.2288,1,-12106.720000000001,West,MORTGAGE
4356,-0.687583451452638,-0.48003517882002555,-0.5031365329044337,0.07377277046781971,0.0332,1,-9522.57,Midwest,RENT
4357,-0.6032890849276442,-0.23970023367217191,-0.5043758729620607,0.06077953383198021,0.07,1,-9481.27,South,MORTGAGE
4358,-0.4285138666927961,-0.44836881647988286,-0.4084036543445017,0.0476815327033953,0.332,1,-6047.7,Northeast,RENT
4359,-1.0910673675449445,-0.533889035156553,-0.5213910422891497,-0.038850576533126506,0.003599999999999992,1,-22847.65,West,MORTGAGE
4360,-1.1076282325033722,-0.36975032352221,-0.3938228387551308,0.3323819556286023,0.787,1,558.7900000000009,South,OWN
4361,-0.43412042900795467,-0.3205315616284267,-0.477454679893513,-0.05239004713901008,-0.1956,1,-6500.76,West,MORTGAGE
4362,-0.7475727057902972,-0.3760702543507714,-0.21768625297198818,-0.013673620905141244,0.0332,1,-8155.2,West,RENT
4363,-0.530867866138917,-0.5542914488575942,-0.7641497058659537,-0.10086268461119709,0.07,1,-7670.7699999999995,South,MORTGAGE
4364,-0.10172963687111392,-0.25705868806521875,-0.07698393919039026,0.005200276308721825,0.0332,-1,-2582.16,West,RENT
4365,-0.1281764836678595,-0.2740902981434685,-0.3229780792381889,0.05898200282644001,0.19920000000000002,1,136.10000000000036,South,RENT
4366,-0.8319843385294377,-0.14749067167704838,-0.3138563442545116,0.05742137781484418,-0.262,1,-18029.05,West,MORTGAGE
4367,-0.4877005191796716,-0.4268288992852942,-0.6469455820096142,0.0482511642208714,0.621,1,-8580.67,West,OWN
4368,-1.5219647185425127,-0.5198873116688791,-0.6932871602602902,-0.03423257759885229,-0.0628,1,-19866.1,South,MORTGAGE
4369,-0.3348834475839555,-0.36582117714372964,-0.4245230690587984,0.02862128056829273,0.332,1,530.7299999999996,Northeast,RENT
4370,-0.16788391883126705,-0.38321876028659785,-0.5683972698288455,0.02081262526319695,-0.1956,1,-3030.21,South,MORTGAGE
4371,-0.5277123175273483,-0.295990096476593,-0.4090369953915892,0.05438984848272301,-0.262,1,-7952.73,Northeast,MORTGAGE
4372,-0.43737996729418616,-0.23033495808468252,-0.39992134369168114,0.046042435969549024,0.2324,1,-7193.639999999999,West,RENT
4373,-0.8963194352230923,-0.5170024219076059,-0.7875056897568637,0.07217311288971587,-0.0628,1,-18140.6,South,MORTGAGE
4374,-0.1453742678568346,-0.14234905517142124,-0.17437432129796096,-0.09528981198081299,0.0664,1,-2650.16,Northeast,RENT
4375,-0.3607892610342698,-0.44428688550820705,-0.7415731742031146,0.05343070447863585,-0.2288,1,-5023.5,West,MORTGAGE
4376,-0.2995685599331207,-0.485373461988674,-0.4191567484721029,-0.21898013640763367,-0.1956,-1,-5351.23,West,MORTGAGE
4377,-0.45237890415035775,-0.5748261908844942,-0.6800154989442985,0.1489420389709508,0.455,1,1023.7600000000002,South,OWN
4378,-0.9754405657847044,-0.41826398610373305,-0.3889130415081438,-0.021711309199234183,-0.1624,1,-18000.67,South,MORTGAGE
4379,-0.43918657723883575,-0.439782455881399,-0.48911383001658393,0.04711637366749825,0.0332,1,-6439.4,Northeast,RENT
4380,-0.6144905480746359,-0.3258769990993224,-0.3960957282481897,-0.16726563920488616,0.07,1,-9754.34,Midwest,MORTGAGE
4381,-0.6901559363153811,-0.6271306200857883,-0.6548015261383759,-0.14850502070957858,0.07,1,-12115.99,South,MORTGAGE
4382,-0.8644968420185022,-0.6173635259510624,-0.4153886992951178,0.06292510522221673,-0.2288,-1,-15322.96,West,MORTGAGE
4383,-0.09266483901111228,-0.5299731106788927,-0.7201611921317125,0.04323669919229702,0.07,1,224.34000000000015,South,MORTGAGE
4384,-1.1848837846385423,-0.3756107195375916,-0.5800433608367817,0.1011301271083473,0.07,1,-22504.02,South,MORTGAGE
4385,-0.5461413565594164,-0.5299613110498306,-0.7334629128586323,0.048680929041693834,0.07,1,-11373.96,,MORTGAGE
4386,-0.6245729752830713,-0.5780193006327066,-0.7768700198409395,-0.03001249278179153,0.1328,1,-8616.07,,RENT
4387,-1.4347928983684255,-0.5334632298402342,-0.6000117134336604,0.11198158718680525,0.07,1,-26703.35,West,MORTGAGE
4388,-0.1431532750757168,-0.49803816688661495,-0.4940215449616817,0.019400405322178408,0.332,1,-2534.41,West,RENT
4389,-0.7669644800920057,-0.05517429408610267,-0.3376242552558964,0.06678919377676372,0.09960000000000001,1,-13037.85,Northeast,RENT
4390,-0.29774285955616053,-0.44276008970070563,-0.35039616359647763,0.006394564420070724,0.07,-1,-6444.04,South,MORTGAGE
4391,-0.7947335574061181,-0.6879039330560337,-0.8310297885794756,0.0013990932403917383,-0.262,1,-10714.32,Midwest,MORTGAGE
4392,-0.6940435801364006,-0.5906110957451816,-0.6795833405953532,0.05949294996440929,-0.2288,1,-12826.2,South,MORTGAGE
4393,-0.2776185976259411,-0.4910652790711355,-0.7101795377480432,0.10350094893447373,-0.1956,1,670.9099999999999,South,MORTGAGE
4394,-0.6023835245073573,-0.574744679671513,-0.6969605997810293,0.052535123924869004,-0.029600000000000015,1,-11339.58,South,MORTGAGE
4395,-0.8481009276716724,-0.21610713333271922,-0.41670562192884397,0.08270336747295173,0.0664,1,-12863.63,Northeast,RENT
4396,-0.8733037104450077,-0.5443729904638257,-0.46551344712181353,-0.0011834559751709925,-0.096,1,-15280.720000000001,West,MORTGAGE
4397,-0.8501884392904457,-0.5170156457126688,-0.25943613968564266,0.0763880879536004,0.332,1,-14329.6,Northeast,RENT
4398,-0.9199565949493029,-0.08680246534769442,-0.40355084895123583,-0.04010534519934064,-0.2288,1,-14562.46,South,MORTGAGE
4399,-0.889104461668661,-0.22522987688602464,-0.40081894943484053,0.06937008670736027,0.07,1,-18522.42,Northeast,MORTGAGE
4400,-0.24321483251742765,-0.48138272394476755,-0.42901160984977366,0.029223194637456804,0.166,1,-3809.64,South,RENT
4401,-0.23036415454900128,-0.5775908437451107,-0.9169147992200577,0.02784594137060167,0.2656,1,-3911.26,South,RENT
4402,-0.9948587047012749,-0.21829343441290333,-0.5406185652494208,0.10530918678985467,-0.096,1,-15545.67,South,MORTGAGE
4403,-0.5309740291870295,-0.3997059317582683,-0.5568597426026946,-0.05922504295546254,0.07,1,-7822.71,South,MORTGAGE
4404,-0.47752486590913457,-0.24333620435922632,-0.32551403310183885,0.05266414824193711,0.0332,1,-8030.0599999999995,South,RENT
4405,-0.27215961522476545,-0.5041034744766425,-0.7041223154293355,0.03126427259443753,-0.1292,1,-4509.04,West,MORTGAGE
4406,-0.9462082341848286,-0.4710082960848199,-0.8022215237913605,0.07027894917611943,-0.1624,1,-18780.36,Midwest,MORTGAGE
4407,-0.6833330017860069,-0.4493541641543788,-0.5982519795683974,-0.04086702977009888,-0.1292,1,-9634.6,Midwest,MORTGAGE
4408,-0.6330789253871087,-0.7744903285417635,-1.0337512661794077,-0.2008149089054582,0.0664,1,-11628.55,South,RENT
4409,-0.012829041595660083,-0.6063401038365517,-0.6964587237466082,0.009434225536881058,0.332,1,-1269.76,West,RENT
4410,-0.44338514093945425,-0.5317161322679056,-0.7432917068322424,-0.11752945792174888,0.4882,1,-6716.1,,OWN
